"","GEOID","NAME","TotPop","White","Black","AI","Asian","Pac_il","Other_Race","Multi_Race","MedInc","Pop25","HS","GED","Assoc","Bach","Mast","ProfDeg","Doct","TotalHouse","Occupied","Vacant","TotalOcc","Own","Rent"
"1","42101006600","Census Tract 66, Philadelphia County, Pennsylvania",3536,208,2969,10,244,0,47,58,27049,2074,963,185,154,111,0,0,0,1635,1329,306,1329,448,881
"2","42101018802","Census Tract 188.02, Philadelphia County, Pennsylvania",4200,956,1294,0,0,0,1178,772,31523,1729,590,115,154,38,225,0,0,1494,1138,356,1138,339,799
"3","42101011100","Census Tract 111, Philadelphia County, Pennsylvania",3829,129,3532,0,0,0,0,168,43235,2471,1005,100,214,162,64,0,0,1943,1340,603,1340,822,518
"4","42101025300","Census Tract 253, Philadelphia County, Pennsylvania",4792,615,4034,0,63,0,0,80,46769,3239,1057,139,347,374,472,0,18,2269,2022,247,2022,1248,774
"5","42101033300","Census Tract 333, Philadelphia County, Pennsylvania",3790,2615,416,0,427,0,54,278,49505,3148,1137,109,196,610,262,33,18,1800,1625,175,1625,971,654
"6","42101024800","Census Tract 248, Philadelphia County, Pennsylvania",2350,45,2163,0,0,12,75,55,37667,1337,371,194,157,142,67,0,0,896,822,74,822,619,203
"7","42101011500","Census Tract 115, Philadelphia County, Pennsylvania",4606,310,4032,28,0,0,14,222,74815,3238,866,14,375,652,236,25,0,1875,1742,133,1742,1341,401
"8","42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania",2669,2162,146,0,182,48,0,131,133906,2200,41,0,66,964,525,346,215,1688,1459,229,1459,767,692
"9","42101025900","Census Tract 259, Philadelphia County, Pennsylvania",4414,100,4192,0,6,0,110,6,47144,2990,1039,73,318,501,231,80,0,2118,2023,95,2023,1521,502
"10","42101032900","Census Tract 329, Philadelphia County, Pennsylvania",3702,2109,722,0,320,0,345,206,41563,2594,847,335,146,318,47,6,7,2033,1850,183,1850,875,975
"11","42101037200","Census Tract 372, Philadelphia County, Pennsylvania",3986,2045,260,0,1212,0,70,399,60643,3099,1015,41,217,523,162,25,10,1838,1763,75,1763,1349,414
"12","42101000403","Census Tract 4.03, Philadelphia County, Pennsylvania",965,836,27,4,63,0,0,35,165890,942,35,27,57,377,308,110,0,809,694,115,694,402,292
"13","42101000500","Census Tract 5, Philadelphia County, Pennsylvania",2977,1285,964,37,425,0,40,226,51801,2567,558,169,54,502,282,213,100,1355,1144,211,1144,61,1083
"14","42101028800","Census Tract 288, Philadelphia County, Pennsylvania",5204,1002,951,0,504,0,1688,1059,48356,3342,1248,195,88,36,146,0,0,1770,1708,62,1708,1218,490
"15","42101014500","Census Tract 145, Philadelphia County, Pennsylvania",2170,225,1535,0,50,0,229,131,NA,1254,428,70,67,62,55,0,31,894,813,81,813,225,588
"16","42101009300","Census Tract 93, Philadelphia County, Pennsylvania",5171,305,4509,0,201,0,6,150,29597,3256,878,164,132,457,171,44,0,2602,2156,446,2156,1308,848
"17","42101021600","Census Tract 216, Philadelphia County, Pennsylvania",2449,1665,252,13,84,0,104,331,84095,2015,511,62,41,597,283,67,90,1251,1213,38,1213,415,798
"18","42101024700","Census Tract 247, Philadelphia County, Pennsylvania",4480,302,3997,7,18,0,5,151,35120,2711,909,138,370,329,180,8,90,1991,1721,270,1721,844,877
"19","42101025400","Census Tract 254, Philadelphia County, Pennsylvania",4301,488,3604,0,27,0,21,161,62000,3155,746,72,250,729,339,22,61,2128,1964,164,1964,1276,688
"20","42101001500","Census Tract 15, Philadelphia County, Pennsylvania",3231,1918,805,0,346,0,0,162,93203,2525,370,14,109,866,444,181,208,1618,1478,140,1478,847,631
"21","42101016902","Census Tract 169.02, Philadelphia County, Pennsylvania",3276,0,2840,0,0,0,73,363,21114,2871,1326,99,143,217,71,0,0,2506,1992,514,1992,987,1005
